Record_ID,Timestamp,Building_ID,Total_Operational_Cost,Budget,Savings_Opportunity,Cost_Reduction_Percent,ROI_Generated_Percent,Facility_Health_Score,Resource_Utilization_Percent,Optimization_Count,Optimization_Decision,Priority,Recommendation,Recommended_Action
614,2026-06-03 06:00:00,BLDG_C,8797.91,8943.49,1193.51,9.15,48.47,63.98,66.01,2,Administrative Cost Optimization Required,HIGH,Review security operating costs | Reduce administrative overhead | Implement identified savings opportunities | Increase cost reduction initiatives | Improve facility health,Optimize security resource allocation | Review administrative resource usage | Prioritize high-value cost-saving activities | Identify additional cost-saving opportunities | Prioritize facility maintenance activities
615,2026-06-03 12:00:00,BLDG_C,10895.86,12691.45,1782.12,20.51,50.01,79.87,89.08,6,Administrative Cost Optimization Required,MEDIUM,Reduce administrative overhead | Implement identified savings opportunities | Monitor high resource utilization,Review administrative resource usage | Prioritize high-value cost-saving activities | Balance resource allocation
616,2026-06-03 18:00:00,BLDG_A,5510.07,6256.25,922.3,18.06,13.96,81.76,78.04,2,Maintenance Cost Optimization Required,MEDIUM,Optimize energy consumption | Optimize maintenance expenditure | Implement identified savings opportunities | Review low-return investments,Review HVAC and lighting usage | Review preventive maintenance schedules | Prioritize high-value cost-saving activities | Evaluate investment effectiveness
617,2026-06-04 00:00:00,BLDG_C,10399.39,10813.11,745.19,8.38,47.53,70.71,51.08,4,Maintenance Cost Optimization Required,HIGH,Optimize energy consumption | Optimize maintenance expenditure | Increase cost reduction initiatives,Review HVAC and lighting usage | Review preventive maintenance schedules | Identify additional cost-saving opportunities
618,2026-06-04 06:00:00,BLDG_C,11894.46,12084.15,692.06,21.08,18.36,97.67,82.23,12,Maintain Current Operations,MEDIUM,Review low-return investments | Prioritize multiple optimization opportunities,Evaluate investment effectiveness | Create a structured optimization plan
619,2026-06-04 12:00:00,BLDG_B,11026.47,12872.35,762.96,10.43,13.59,72.75,71.01,1,Energy Cost Optimization Required,MEDIUM,Optimize energy consumption | Review low-return investments | Optimize vendor utilization,Review HVAC and lighting usage | Evaluate investment effectiveness | Review vendor resource allocation
620,2026-06-04 18:00:00,BLDG_C,5816.55,5908.34,830.06,15.73,51.16,67.99,56.25,4,Maintenance Cost Optimization Required,HIGH,Optimize energy consumption | Optimize maintenance expenditure | Implement identified savings opportunities | Improve facility health,Review HVAC and lighting usage | Review preventive maintenance schedules | Prioritize high-value cost-saving activities | Prioritize facility maintenance activities
621,2026-06-05 00:00:00,BLDG_A,12605.1,12835.4,1077.85,17.37,58.7,64.19,59.48,14,Administrative Cost Optimization Required,HIGH,Optimize energy consumption | Reduce administrative overhead | Improve facility health | Prioritize multiple optimization opportunities,Review HVAC and lighting usage | Review administrative resource usage | Prioritize facility maintenance activities | Create a structured optimization plan
622,2026-06-05 06:00:00,BLDG_B,8468.74,9192.66,474.32,4.41,48.85,74.38,72.87,7,Administrative Cost Optimization Required,HIGH,Optimize energy consumption | Reduce administrative overhead | Increase cost reduction initiatives,Review HVAC and lighting usage | Review administrative resource usage | Identify additional cost-saving opportunities
623,2026-06-05 12:00:00,BLDG_B,8069.95,8287.51,361.19,21.26,53.92,86.32,75.09,15,Administrative Cost Optimization Required,MEDIUM,Reduce administrative overhead | Prioritize multiple optimization opportunities,Review administrative resource usage | Create a structured optimization plan
624,2026-06-05 18:00:00,BLDG_A,8290.8,9805.81,655.78,10.2,64.49,68.79,93.41,14,Administrative Cost Optimization Required,HIGH,Review security operating costs | Reduce administrative overhead | Improve facility health | Monitor high resource utilization | Optimize vendor utilization | Prioritize multiple optimization opportunities,Optimize security resource allocation | Review administrative resource usage | Prioritize facility maintenance activities | Balance resource allocation | Review vendor resource allocation | Create a structured optimization plan
625,2026-06-06 00:00:00,BLDG_A,9943.59,10878.85,501.36,7.42,15.68,89.24,87.74,8,Administrative Cost Optimization Required,MEDIUM,Optimize energy consumption | Review security operating costs | Reduce administrative overhead | Increase cost reduction initiatives | Review low-return investments | Monitor high resource utilization,Review HVAC and lighting usage | Optimize security resource allocation | Review administrative resource usage | Identify additional cost-saving opportunities | Evaluate investment effectiveness | Balance resource allocation
626,2026-06-06 06:00:00,BLDG_B,6592.26,7342.66,352.4,19.31,63.01,65.15,55.29,2,Administrative Cost Optimization Required,HIGH,Reduce administrative overhead | Improve facility health,Review administrative resource usage | Prioritize facility maintenance activities
627,2026-06-06 12:00:00,BLDG_C,9577.37,11355.13,1269.79,16.65,42.27,76.74,83.7,3,Security Cost Optimization Required,MEDIUM,Optimize maintenance expenditure | Review security operating costs | Implement identified savings opportunities,Review preventive maintenance schedules | Optimize security resource allocation | Prioritize high-value cost-saving activities
628,2026-06-06 18:00:00,BLDG_B,7677.21,8491.4,253.04,5.56,54.36,86.69,45.41,1,Security Cost Optimization Required,MEDIUM,Optimize maintenance expenditure | Review security operating costs | Increase cost reduction initiatives | Improve resource utilization,Review preventive maintenance schedules | Optimize security resource allocation | Identify additional cost-saving opportunities | Reallocate underutilized resources
629,2026-06-07 00:00:00,BLDG_A,10741.54,11501.16,511.65,6.11,45.06,65.14,51.49,15,Energy Cost Optimization Required,HIGH,Optimize energy consumption | Increase cost reduction initiatives | Improve facility health | Optimize vendor utilization | Prioritize multiple optimization opportunities,Review HVAC and lighting usage | Identify additional cost-saving opportunities | Prioritize facility maintenance activities | Review vendor resource allocation | Create a structured optimization plan
630,2026-06-07 06:00:00,BLDG_B,9369.78,10863.61,1467.82,16.87,40.49,82.72,54.99,7,Administrative Cost Optimization Required,HIGH,Optimize energy consumption | Reduce administrative overhead | Implement identified savings opportunities,Review HVAC and lighting usage | Review administrative resource usage | Prioritize high-value cost-saving activities
631,2026-06-07 12:00:00,BLDG_A,9503.49,10345.21,1489.55,5.35,48.11,90.36,74.86,4,Administrative Cost Optimization Required,HIGH,Optimize energy consumption | Reduce administrative overhead | Implement identified savings opportunities | Increase cost reduction initiatives,Review HVAC and lighting usage | Review administrative resource usage | Prioritize high-value cost-saving activities | Identify additional cost-saving opportunities
632,2026-06-07 18:00:00,BLDG_B,8552.07,9096.78,678.92,20.51,26.25,82.63,54.73,11,Administrative Cost Optimization Required,MEDIUM,Review security operating costs | Reduce administrative overhead | Prioritize multiple optimization opportunities,Optimize security resource allocation | Review administrative resource usage | Create a structured optimization plan
633,2026-06-08 00:00:00,BLDG_C,7694.06,8806.97,332.33,17.35,60.68,79.44,63.26,10,Administrative Cost Optimization Required,MEDIUM,Review security operating costs | Reduce administrative overhead | Prioritize multiple optimization opportunities,Optimize security resource allocation | Review administrative resource usage | Create a structured optimization plan
634,2026-06-08 06:00:00,BLDG_B,12114.09,14056.23,1644.43,10.04,14.57,91.86,57.14,8,Administrative Cost Optimization Required,MEDIUM,Optimize maintenance expenditure | Reduce administrative overhead | Implement identified savings opportunities | Review low-return investments,Review preventive maintenance schedules | Review administrative resource usage | Prioritize high-value cost-saving activities | Evaluate investment effectiveness
635,2026-06-08 12:00:00,BLDG_B,7059.7,8177.56,593.15,10.53,26.13,97.45,61.87,5,Energy Cost Optimization Required,HIGH,Optimize energy consumption | Optimize vendor utilization,Review HVAC and lighting usage | Review vendor resource allocation
636,2026-06-08 18:00:00,BLDG_A,7148.79,8546.63,263.22,13.12,9.78,66.89,92.12,9,Administrative Cost Optimization Required,HIGH,Optimize maintenance expenditure | Reduce administrative overhead | Review low-return investments | Improve facility health | Monitor high resource utilization | Optimize vendor utilization,Review preventive maintenance schedules | Review administrative resource usage | Evaluate investment effectiveness | Prioritize facility maintenance activities | Balance resource allocation | Review vendor resource allocation
637,2026-06-09 00:00:00,BLDG_A,9343.35,10813.37,501.5,10.5,23.47,86.27,94.87,6,Security Cost Optimization Required,HIGH,Optimize energy consumption | Review security operating costs | Monitor high resource utilization,Review HVAC and lighting usage | Optimize security resource allocation | Balance resource allocation
638,2026-06-09 06:00:00,BLDG_A,11233.79,12963.64,568.23,18.1,20.44,63.06,79.29,11,Maintenance Cost Optimization Required,HIGH,Optimize energy consumption | Optimize maintenance expenditure | Improve facility health | Prioritize multiple optimization opportunities,Review HVAC and lighting usage | Review preventive maintenance schedules | Prioritize facility maintenance activities | Create a structured optimization plan
639,2026-06-09 12:00:00,BLDG_B,11859.4,13893.25,1403.77,21.55,10.83,61.63,73.62,10,Administrative Cost Optimization Required,HIGH,Reduce administrative overhead | Implement identified savings opportunities | Review low-return investments | Improve facility health | Prioritize multiple optimization opportunities,Review administrative resource usage | Prioritize high-value cost-saving activities | Evaluate investment effectiveness | Prioritize facility maintenance activities | Create a structured optimization plan
640,2026-06-09 18:00:00,BLDG_C,11391.46,11391.88,1876.37,14.52,36.03,70.67,80.42,2,Administrative Cost Optimization Required,HIGH,Optimize energy consumption | Optimize maintenance expenditure | Reduce administrative overhead | Implement identified savings opportunities,Review HVAC and lighting usage | Review preventive maintenance schedules | Review administrative resource usage | Prioritize high-value cost-saving activities
641,2026-06-10 00:00:00,BLDG_A,10457.23,11215.24,1557.72,12.03,34.71,96.89,83.58,1,Maintenance Cost Optimization Required,HIGH,Optimize energy consumption | Optimize maintenance expenditure | Implement identified savings opportunities,Review HVAC and lighting usage | Review preventive maintenance schedules | Prioritize high-value cost-saving activities
642,2026-06-10 06:00:00,BLDG_A,6494.73,7452.84,727.26,8.01,12.43,80.98,81.95,1,Security Cost Optimization Required,MEDIUM,Review security operating costs | Implement identified savings opportunities | Increase cost reduction initiatives | Review low-return investments | Optimize vendor utilization,Optimize security resource allocation | Prioritize high-value cost-saving activities | Identify additional cost-saving opportunities | Evaluate investment effectiveness | Review vendor resource allocation
643,2026-06-10 12:00:00,BLDG_B,9369.32,10493.11,874.38,15.76,22.93,70.19,49.09,12,Administrative Cost Optimization Required,HIGH,Optimize energy consumption | Reduce administrative overhead | Improve resource utilization | Prioritize multiple optimization opportunities,Review HVAC and lighting usage | Review administrative resource usage | Reallocate underutilized resources | Create a structured optimization plan
644,2026-06-10 18:00:00,BLDG_A,11780.85,12199.24,1446.71,16.34,62.34,65.04,60.51,12,Energy Cost Optimization Required,HIGH,Optimize energy consumption | Implement identified savings opportunities | Improve facility health | Prioritize multiple optimization opportunities,Review HVAC and lighting usage | Prioritize high-value cost-saving activities | Prioritize facility maintenance activities | Create a structured optimization plan
645,2026-06-11 00:00:00,BLDG_C,7456.13,7909.06,720.05,16.33,14.31,94.97,62.17,14,Administrative Cost Optimization Required,MEDIUM,Reduce administrative overhead | Review low-return investments | Optimize vendor utilization | Prioritize multiple optimization opportunities,Review administrative resource usage | Evaluate investment effectiveness | Review vendor resource allocation | Create a structured optimization plan
646,2026-06-11 06:00:00,BLDG_C,10209.27,10896.95,683.15,4.49,25.39,73.77,63.46,14,Security Cost Optimization Required,HIGH,Optimize energy consumption | Review security operating costs | Increase cost reduction initiatives | Optimize vendor utilization | Prioritize multiple optimization opportunities,Review HVAC and lighting usage | Optimize security resource allocation | Identify additional cost-saving opportunities | Review vendor resource allocation | Create a structured optimization plan
647,2026-06-11 12:00:00,BLDG_A,6730.4,7494.74,887.6,20.18,10.04,71.65,62.22,9,Energy Cost Optimization Required,MEDIUM,Optimize energy consumption | Implement identified savings opportunities | Review low-return investments,Review HVAC and lighting usage | Prioritize high-value cost-saving activities | Evaluate investment effectiveness
648,2026-06-11 18:00:00,BLDG_A,7823.81,9125.06,1259.53,10.09,16.49,92.6,84.35,1,Energy Cost Optimization Required,MEDIUM,Optimize energy consumption | Implement identified savings opportunities | Review low-return investments,Review HVAC and lighting usage | Prioritize high-value cost-saving activities | Evaluate investment effectiveness
649,2026-06-12 00:00:00,BLDG_B,9958.72,11816.0,855.76,17.39,47.87,82.97,82.38,3,Security Cost Optimization Required,HIGH,Optimize energy consumption | Review security operating costs,Review HVAC and lighting usage | Optimize security resource allocation
650,2026-06-12 06:00:00,BLDG_C,9692.12,11146.12,1514.21,17.68,28.9,66.41,45.23,12,Energy Cost Optimization Required,HIGH,Optimize energy consumption | Implement identified savings opportunities | Improve facility health | Improve resource utilization | Prioritize multiple optimization opportunities,Review HVAC and lighting usage | Prioritize high-value cost-saving activities | Prioritize facility maintenance activities | Reallocate underutilized resources | Create a structured optimization plan
651,2026-06-12 12:00:00,BLDG_C,12705.51,14847.53,1202.73,15.71,33.77,76.02,59.82,2,Administrative Cost Optimization Required,MEDIUM,Reduce administrative overhead,Review administrative resource usage
652,2026-06-12 18:00:00,BLDG_A,5066.58,5542.94,457.01,11.11,16.95,95.27,76.18,15,Administrative Cost Optimization Required,MEDIUM,Reduce administrative overhead | Review low-return investments | Prioritize multiple optimization opportunities,Review administrative resource usage | Evaluate investment effectiveness | Create a structured optimization plan
653,2026-06-13 00:00:00,BLDG_B,10687.75,11520.91,366.04,14.95,46.88,94.25,51.01,15,Energy Cost Optimization Required,HIGH,Optimize energy consumption | Prioritize multiple optimization opportunities,Review HVAC and lighting usage | Create a structured optimization plan
654,2026-06-13 06:00:00,BLDG_C,5719.84,6169.09,768.13,4.72,50.84,62.66,48.56,15,Security Cost Optimization Required,HIGH,Optimize energy consumption | Review security operating costs | Implement identified savings opportunities | Increase cost reduction initiatives | Improve facility health | Improve resource utilization | Prioritize multiple optimization opportunities,Review HVAC and lighting usage | Optimize security resource allocation | Prioritize high-value cost-saving activities | Identify additional cost-saving opportunities | Prioritize facility maintenance activities | Reallocate underutilized resources | Create a structured optimization plan
655,2026-06-13 12:00:00,BLDG_C,7710.36,8660.34,1165.23,17.71,18.32,70.21,86.42,12,Security Cost Optimization Required,MEDIUM,Optimize energy consumption | Review security operating costs | Implement identified savings opportunities | Review low-return investments | Monitor high resource utilization | Optimize vendor utilization | Prioritize multiple optimization opportunities,Review HVAC and lighting usage | Optimize security resource allocation | Prioritize high-value cost-saving activities | Evaluate investment effectiveness | Balance resource allocation | Review vendor resource allocation | Create a structured optimization plan
656,2026-06-13 18:00:00,BLDG_B,8821.36,9040.55,1142.66,5.79,10.56,65.87,67.63,4,Administrative Cost Optimization Required,HIGH,Optimize energy consumption | Reduce administrative overhead | Implement identified savings opportunities | Increase cost reduction initiatives | Review low-return investments | Improve facility health,Review HVAC and lighting usage | Review administrative resource usage | Prioritize high-value cost-saving activities | Identify additional cost-saving opportunities | Evaluate investment effectiveness | Prioritize facility maintenance activities
657,2026-06-14 00:00:00,BLDG_B,8067.96,9003.03,425.21,11.14,12.61,80.28,87.78,1,Administrative Cost Optimization Required,MEDIUM,Optimize energy consumption | Reduce administrative overhead | Review low-return investments | Monitor high resource utilization | Optimize vendor utilization,Review HVAC and lighting usage | Review administrative resource usage | Evaluate investment effectiveness | Balance resource allocation | Review vendor resource allocation
658,2026-06-14 06:00:00,BLDG_C,9343.05,10585.92,425.05,5.87,45.45,88.5,86.18,15,Administrative Cost Optimization Required,MEDIUM,Review security operating costs | Reduce administrative overhead | Increase cost reduction initiatives | Monitor high resource utilization | Prioritize multiple optimization opportunities,Optimize security resource allocation | Review administrative resource usage | Identify additional cost-saving opportunities | Balance resource allocation | Create a structured optimization plan
659,2026-06-14 12:00:00,BLDG_C,10554.79,11481.31,1223.6,19.07,15.72,71.23,89.67,1,Energy Cost Optimization Required,MEDIUM,Optimize energy consumption | Implement identified savings opportunities | Review low-return investments | Monitor high resource utilization | Optimize vendor utilization,Review HVAC and lighting usage | Prioritize high-value cost-saving activities | Evaluate investment effectiveness | Balance resource allocation | Review vendor resource allocation
660,2026-06-14 18:00:00,BLDG_B,8968.77,10678.52,809.23,13.91,36.15,88.8,47.41,4,Energy Cost Optimization Required,HIGH,Optimize energy consumption | Improve resource utilization,Review HVAC and lighting usage | Reallocate underutilized resources
661,2026-06-15 00:00:00,BLDG_C,8041.38,9019.55,758.82,16.44,16.7,85.41,54.31,13,Administrative Cost Optimization Required,MEDIUM,Optimize energy consumption | Reduce administrative overhead | Review low-return investments | Prioritize multiple optimization opportunities,Review HVAC and lighting usage | Review administrative resource usage | Evaluate investment effectiveness | Create a structured optimization plan
662,2026-06-15 06:00:00,BLDG_A,5794.62,6049.58,1015.04,16.29,17.7,87.67,59.81,13,Administrative Cost Optimization Required,MEDIUM,Review security operating costs | Reduce administrative overhead | Implement identified savings opportunities | Review low-return investments | Prioritize multiple optimization opportunities,Optimize security resource allocation | Review administrative resource usage | Prioritize high-value cost-saving activities | Evaluate investment effectiveness | Create a structured optimization plan
663,2026-06-15 12:00:00,BLDG_A,9893.3,10841.51,1371.1,19.15,8.25,96.03,51.81,14,Administrative Cost Optimization Required,MEDIUM,Optimize energy consumption | Reduce administrative overhead | Implement identified savings opportunities | Review low-return investments | Optimize vendor utilization | Prioritize multiple optimization opportunities,Review HVAC and lighting usage | Review administrative resource usage | Prioritize high-value cost-saving activities | Evaluate investment effectiveness | Review vendor resource allocation | Create a structured optimization plan
664,2026-06-15 18:00:00,BLDG_B,8500.17,9648.38,780.04,6.39,26.29,76.14,69.27,4,Energy Cost Optimization Required,HIGH,Optimize energy consumption | Increase cost reduction initiatives,Review HVAC and lighting usage | Identify additional cost-saving opportunities
665,2026-06-16 00:00:00,BLDG_B,11219.46,11945.65,368.73,15.88,13.12,73.02,84.95,7,Energy Cost Optimization Required,MEDIUM,Optimize energy consumption | Review low-return investments | Optimize vendor utilization,Review HVAC and lighting usage | Evaluate investment effectiveness | Review vendor resource allocation
666,2026-06-16 06:00:00,BLDG_B,5126.52,5208.18,180.01,14.35,30.46,85.99,92.56,8,Security Cost Optimization Required,MEDIUM,Optimize maintenance expenditure | Review security operating costs | Monitor high resource utilization,Review preventive maintenance schedules | Optimize security resource allocation | Balance resource allocation
667,2026-06-16 12:00:00,BLDG_A,7542.21,8422.29,1001.01,4.56,42.07,90.69,89.48,13,Administrative Cost Optimization Required,MEDIUM,Review security operating costs | Reduce administrative overhead | Implement identified savings opportunities | Increase cost reduction initiatives | Monitor high resource utilization | Prioritize multiple optimization opportunities,Optimize security resource allocation | Review administrative resource usage | Prioritize high-value cost-saving activities | Identify additional cost-saving opportunities | Balance resource allocation | Create a structured optimization plan
668,2026-06-16 18:00:00,BLDG_C,8840.49,10516.42,1376.12,7.63,28.95,67.27,67.87,8,Administrative Cost Optimization Required,HIGH,Review security operating costs | Reduce administrative overhead | Implement identified savings opportunities | Increase cost reduction initiatives | Improve facility health,Optimize security resource allocation | Review administrative resource usage | Prioritize high-value cost-saving activities | Identify additional cost-saving opportunities | Prioritize facility maintenance activities
669,2026-06-17 00:00:00,BLDG_A,8375.01,9187.51,1140.3,8.82,48.19,92.18,76.82,8,Administrative Cost Optimization Required,MEDIUM,Optimize maintenance expenditure | Review security operating costs | Reduce administrative overhead | Implement identified savings opportunities | Increase cost reduction initiatives,Review preventive maintenance schedules | Optimize security resource allocation | Review administrative resource usage | Prioritize high-value cost-saving activities | Identify additional cost-saving opportunities
670,2026-06-17 06:00:00,BLDG_C,10304.67,12172.1,936.52,5.31,50.26,62.2,56.53,14,Security Cost Optimization Required,HIGH,Optimize maintenance expenditure | Review security operating costs | Increase cost reduction initiatives | Improve facility health | Prioritize multiple optimization opportunities,Review preventive maintenance schedules | Optimize security resource allocation | Identify additional cost-saving opportunities | Prioritize facility maintenance activities | Create a structured optimization plan
671,2026-06-17 12:00:00,BLDG_A,12985.21,15153.8,450.2,10.38,47.71,60.24,65.15,14,Administrative Cost Optimization Required,HIGH,Optimize energy consumption | Reduce administrative overhead | Improve facility health | Prioritize multiple optimization opportunities,Review HVAC and lighting usage | Review administrative resource usage | Prioritize facility maintenance activities | Create a structured optimization plan
672,2026-06-17 18:00:00,BLDG_C,9136.6,9405.97,1599.91,4.49,61.39,66.02,88.56,12,Administrative Cost Optimization Required,HIGH,Optimize maintenance expenditure | Reduce administrative overhead | Implement identified savings opportunities | Increase cost reduction initiatives | Improve facility health | Monitor high resource utilization | Prioritize multiple optimization opportunities,Review preventive maintenance schedules | Review administrative resource usage | Prioritize high-value cost-saving activities | Identify additional cost-saving opportunities | Prioritize facility maintenance activities | Balance resource allocation | Create a structured optimization plan
673,2026-06-18 00:00:00,BLDG_A,6716.37,7667.64,1195.18,13.96,21.53,97.19,46.46,14,Security Cost Optimization Required,MEDIUM,Optimize maintenance expenditure | Review security operating costs | Implement identified savings opportunities | Improve resource utilization | Prioritize multiple optimization opportunities,Review preventive maintenance schedules | Optimize security resource allocation | Prioritize high-value cost-saving activities | Reallocate underutilized resources | Create a structured optimization plan
674,2026-06-18 06:00:00,BLDG_B,7634.69,8299.62,858.17,7.81,18.8,79.9,71.64,9,Maintenance Cost Optimization Required,MEDIUM,Optimize maintenance expenditure | Implement identified savings opportunities | Increase cost reduction initiatives | Review low-return investments,Review preventive maintenance schedules | Prioritize high-value cost-saving activities | Identify additional cost-saving opportunities | Evaluate investment effectiveness
675,2026-06-18 12:00:00,BLDG_A,7150.14,7508.0,290.3,9.17,42.75,61.77,88.64,1,Administrative Cost Optimization Required,HIGH,Optimize maintenance expenditure | Reduce administrative overhead | Increase cost reduction initiatives | Improve facility health | Monitor high resource utilization,Review preventive maintenance schedules | Review administrative resource usage | Identify additional cost-saving opportunities | Prioritize facility maintenance activities | Balance resource allocation
676,2026-06-18 18:00:00,BLDG_C,7121.54,8099.95,791.53,20.39,41.91,97.89,51.1,9,Administrative Cost Optimization Required,MEDIUM,Review security operating costs | Reduce administrative overhead | Implement identified savings opportunities | Optimize vendor utilization,Optimize security resource allocation | Review administrative resource usage | Prioritize high-value cost-saving activities | Review vendor resource allocation
677,2026-06-19 00:00:00,BLDG_A,6852.67,7870.51,1122.82,13.05,37.08,88.31,94.13,10,Security Cost Optimization Required,HIGH,Optimize energy consumption | Review security operating costs | Implement identified savings opportunities | Monitor high resource utilization | Prioritize multiple optimization opportunities,Review HVAC and lighting usage | Optimize security resource allocation | Prioritize high-value cost-saving activities | Balance resource allocation | Create a structured optimization plan
678,2026-06-19 06:00:00,BLDG_A,7763.86,8043.2,1024.81,8.84,8.25,91.84,45.62,8,Security Cost Optimization Required,MEDIUM,Review security operating costs | Implement identified savings opportunities | Increase cost reduction initiatives | Review low-return investments | Improve resource utilization | Optimize vendor utilization,Optimize security resource allocation | Prioritize high-value cost-saving activities | Identify additional cost-saving opportunities | Evaluate investment effectiveness | Reallocate underutilized resources | Review vendor resource allocation
679,2026-06-19 12:00:00,BLDG_A,12015.32,14212.79,1658.09,14.77,39.65,68.09,89.31,1,Administrative Cost Optimization Required,HIGH,Optimize energy consumption | Optimize maintenance expenditure | Reduce administrative overhead | Implement identified savings opportunities | Improve facility health | Monitor high resource utilization,Review HVAC and lighting usage | Review preventive maintenance schedules | Review administrative resource usage | Prioritize high-value cost-saving activities | Prioritize facility maintenance activities | Balance resource allocation
680,2026-06-19 18:00:00,BLDG_B,10812.39,12436.73,462.18,7.63,61.17,64.01,62.68,7,Energy Cost Optimization Required,HIGH,Optimize energy consumption | Increase cost reduction initiatives | Improve facility health,Review HVAC and lighting usage | Identify additional cost-saving opportunities | Prioritize facility maintenance activities
681,2026-06-20 00:00:00,BLDG_A,8159.72,9682.94,375.16,5.34,27.07,79.57,51.63,9,Maintenance Cost Optimization Required,MEDIUM,Optimize maintenance expenditure | Increase cost reduction initiatives,Review preventive maintenance schedules | Identify additional cost-saving opportunities
682,2026-06-20 06:00:00,BLDG_B,7668.54,8154.84,376.54,4.38,63.15,89.34,52.87,4,Security Cost Optimization Required,HIGH,Optimize energy consumption | Review security operating costs | Increase cost reduction initiatives,Review HVAC and lighting usage | Optimize security resource allocation | Identify additional cost-saving opportunities
683,2026-06-20 12:00:00,BLDG_B,11526.83,13692.34,1909.49,21.13,28.34,84.24,80.06,13,Administrative Cost Optimization Required,HIGH,Optimize energy consumption | Reduce administrative overhead | Implement identified savings opportunities | Optimize vendor utilization | Prioritize multiple optimization opportunities,Review HVAC and lighting usage | Review administrative resource usage | Prioritize high-value cost-saving activities | Review vendor resource allocation | Create a structured optimization plan
684,2026-06-20 18:00:00,BLDG_A,6249.4,6710.0,680.42,17.04,15.97,83.98,88.54,15,Security Cost Optimization Required,MEDIUM,Optimize energy consumption | Review security operating costs | Implement identified savings opportunities | Review low-return investments | Monitor high resource utilization | Prioritize multiple optimization opportunities,Review HVAC and lighting usage | Optimize security resource allocation | Prioritize high-value cost-saving activities | Evaluate investment effectiveness | Balance resource allocation | Create a structured optimization plan
685,2026-06-21 00:00:00,BLDG_A,6441.85,6511.38,958.14,18.4,30.71,88.77,77.05,13,Administrative Cost Optimization Required,MEDIUM,Reduce administrative overhead | Implement identified savings opportunities | Prioritize multiple optimization opportunities,Review administrative resource usage | Prioritize high-value cost-saving activities | Create a structured optimization plan
686,2026-06-21 06:00:00,BLDG_A,9895.51,11405.5,468.0,21.66,36.19,68.63,91.44,9,Maintenance Cost Optimization Required,HIGH,Optimize energy consumption | Optimize maintenance expenditure | Improve facility health | Monitor high resource utilization,Review HVAC and lighting usage | Review preventive maintenance schedules | Prioritize facility maintenance activities | Balance resource allocation
687,2026-06-21 12:00:00,BLDG_C,6816.82,7775.96,1153.04,20.77,43.88,85.14,87.12,1,Administrative Cost Optimization Required,MEDIUM,Optimize maintenance expenditure | Reduce administrative overhead | Implement identified savings opportunities | Monitor high resource utilization | Optimize vendor utilization,Review preventive maintenance schedules | Review administrative resource usage | Prioritize high-value cost-saving activities | Balance resource allocation | Review vendor resource allocation
688,2026-06-21 18:00:00,BLDG_A,10063.9,11267.36,1541.5,17.26,36.78,74.9,45.45,9,Administrative Cost Optimization Required,HIGH,Optimize energy consumption | Reduce administrative overhead | Implement identified savings opportunities | Improve resource utilization,Review HVAC and lighting usage | Review administrative resource usage | Prioritize high-value cost-saving activities | Reallocate underutilized resources
689,2026-06-22 00:00:00,BLDG_B,10768.95,11824.08,686.14,16.49,38.59,62.65,78.47,6,Security Cost Optimization Required,HIGH,Optimize maintenance expenditure | Review security operating costs | Improve facility health,Review preventive maintenance schedules | Optimize security resource allocation | Prioritize facility maintenance activities
690,2026-06-22 06:00:00,BLDG_A,7132.1,7177.98,1149.18,10.06,9.37,67.68,60.23,4,Administrative Cost Optimization Required,HIGH,Optimize energy consumption | Reduce administrative overhead | Implement identified savings opportunities | Review low-return investments | Improve facility health,Review HVAC and lighting usage | Review administrative resource usage | Prioritize high-value cost-saving activities | Evaluate investment effectiveness | Prioritize facility maintenance activities
691,2026-06-22 12:00:00,BLDG_C,9740.41,10957.18,677.12,5.87,22.46,90.17,67.73,12,Maintenance Cost Optimization Required,MEDIUM,Optimize maintenance expenditure | Increase cost reduction initiatives | Prioritize multiple optimization opportunities,Review preventive maintenance schedules | Identify additional cost-saving opportunities | Create a structured optimization plan
692,2026-06-22 18:00:00,BLDG_A,10153.81,11000.3,617.36,14.33,25.71,94.05,49.7,12,Security Cost Optimization Required,HIGH,Optimize energy consumption | Review security operating costs | Improve resource utilization | Prioritize multiple optimization opportunities,Review HVAC and lighting usage | Optimize security resource allocation | Reallocate underutilized resources | Create a structured optimization plan
693,2026-06-23 00:00:00,BLDG_C,7294.79,8112.11,507.98,14.37,64.26,70.75,59.1,5,Administrative Cost Optimization Required,MEDIUM,Review security operating costs | Reduce administrative overhead,Optimize security resource allocation | Review administrative resource usage
694,2026-06-23 06:00:00,BLDG_C,7134.93,7747.57,1187.92,21.14,24.85,67.23,76.63,15,Security Cost Optimization Required,HIGH,Review security operating costs | Implement identified savings opportunities | Improve facility health | Optimize vendor utilization | Prioritize multiple optimization opportunities,Optimize security resource allocation | Prioritize high-value cost-saving activities | Prioritize facility maintenance activities | Review vendor resource allocation | Create a structured optimization plan
695,2026-06-23 12:00:00,BLDG_A,10097.34,12048.26,1689.68,11.97,59.1,61.02,55.92,7,Administrative Cost Optimization Required,HIGH,Optimize energy consumption | Review security operating costs | Reduce administrative overhead | Implement identified savings opportunities | Improve facility health,Review HVAC and lighting usage | Optimize security resource allocation | Review administrative resource usage | Prioritize high-value cost-saving activities | Prioritize facility maintenance activities
